date,store,category,units_sold,revenue,revenue_rolling_7,revenue_rolling_30
2021-01-03,Store_B,Jackets,190,18538.48,11827.281428571428,10075.817333333334
2021-01-03,Store_C,T-Shirts,191,13005.67,13417.871428571429,10257.872
2021-01-03,Store_B,Accessories,200,15004.14,13661.637142857144,10471.741333333333
2021-01-03,Store_C,Jackets,197,19054.98,14203.234285714285,10873.309333333333
2021-01-03,Store_B,Dresses,196,13093.29,14000.757142857141,10896.805333333332
2021-01-03,Store_B,Shoes,213,13189.25,13848.915714285715,11141.156333333334
2021-01-04,Store_C,Shoes,207,3384.7,13610.072857142857,10764.852333333334
2021-01-04,Store_E,Shoes,211,20919.69,13950.245714285715,10934.313666666665
2021-01-04,Store_E,Dresses,214,5557.49,12886.22,10677.357333333332
2021-01-04,Store_E,Jackets,205,15612.06,12973.065714285713,10684.076
2021-01-04,Store_E,Accessories,196,15655.92,12487.485714285713,10912.284333333335
2021-01-04,Store_E,T-Shirts,216,17993.27,13187.482857142855,10966.416333333333
2021-01-04,Store_D,Accessories,208,8051.22,12453.478571428572,11037.650333333333
2021-01-04,Store_D,Shoes,179,3311.48,12443.01857142857,10826.815
2021-01-04,Store_D,Dresses,222,3605.84,9969.611428571428,10868.483
2021-01-04,Store_D,Jackets,229,22100.14,12332.847142857141,11367.756
2021-01-04,Store_D,Jeans,206,12175.74,11841.944285714286,11682.757000000001
2021-01-04,Store_D,T-Shirts,229,10290.18,11075.410000000002,11872.142333333333
2021-01-04,Store_C,Accessories,206,12920.28,10350.697142857143,12120.145333333332
2021-01-04,Store_E,Jeans,191,13886.91,11184.367142857143,12022.575666666668
2021-01-04,Store_C,Dresses,205,17852.24,13261.618571428571,12294.618333333334
2021-01-04,Store_C,Jeans,197,12889.02,14587.787142857143,12432.646666666667
2021-01-04,Store_C,Jackets,206,9005.32,12717.098571428573,12124.757666666666
2021-01-04,Store_A,T-Shirts,205,3003.53,11406.782857142858,12145.111
2021-01-04,Store_A,Jeans,201,13541.11,11871.201428571429,12534.096666666666
2021-01-04,Store_A,Jackets,201,16394.92,12367.57857142857,12637.334666666666
2021-01-04,Store_A,Shoes,216,10110.05,11828.027142857141,12465.543000000001
2021-01-04,Store_A,Accessories,185,6016.54,10137.212857142858,12182.406666666668
2021-01-04,Store_A,Dresses,190,3241.6,8759.01,11815.388666666666
2021-01-04,Store_B,Jeans,191,14594.45,9557.457142857142,12133.317000000001
2021-01-04,Store_B,Jackets,202,9648.33,10506.714285714286,11836.978666666666
2021-01-04,Store_B,Dresses,189,14780.96,10683.835714285713,11896.154999999999
2021-01-04,Store_B,Shoes,166,14440.58,10404.644285714285,11877.369666666666
2021-01-04,Store_B,Accessories,209,3930.26,9521.817142857142,11373.212333333333
2021-01-04,Store_C,T-Shirts,200,5117.63,9393.401428571427,11107.357
2021-01-04,Store_B,T-Shirts,202,14022.39,10933.514285714284,11135.128333333334
2021-01-05,Store_D,Dresses,206,12875.66,10687.972857142857,11451.493666666667
2021-01-05,Store_C,Accessories,211,3695.68,9837.594285714284,10877.359999999999
2021-01-05,Store_D,T-Shirts,212,10214.16,9185.194285714286,11032.582333333334
2021-01-05,Store_D,Jeans,222,12062.65,8845.49,10914.268666666667
2021-01-05,Store_D,Jackets,170,3498.15,8783.76,10509.009666666667
2021-01-05,Store_D,Shoes,238,8499.95,9266.948571428571,10192.565666666667
2021-01-05,Store_C,Shoes,195,16214.63,9580.125714285712,10464.679333333333
2021-01-05,Store_E,T-Shirts,174,16919.28,10157.785714285714,10918.272666666666
2021-01-05,Store_E,Jeans,201,14596.09,11714.987142857144,11284.614333333333
2021-01-05,Store_E,Jackets,198,12392.48,12026.175714285715,10961.025666666666
2021-01-05,Store_E,Dresses,222,7833.64,11422.031428571428,10816.288999999999
2021-01-05,Store_E,Shoes,198,6922.93,11911.285714285714,10704.047333333332
2021-01-05,Store_E,Accessories,186,7775.12,11807.738571428572,10532.542
2021-01-05,Store_D,Accessories,218,21078.43,12502.567142857142,10772.259333333332
2021-01-05,Store_C,Dresses,176,17388.37,12569.58,10756.796999999999
2021-01-05,Store_B,T-Shirts,232,15512.76,12700.532857142858,10844.255000000001
2021-01-05,Store_C,Jeans,179,13082.61,12799.122857142856,10980.164666666667
2021-01-05,Store_A,T-Shirts,193,16840.63,14085.835714285715,11441.401333333333
2021-01-05,Store_A,Jeans,197,15348.05,15289.424285714285,11501.632666666666
2021-01-05,Store_A,Jackets,179,9929.62,15597.210000000003,11286.122666666668
2021-01-05,Store_A,Dresses,215,19478.37,15368.630000000001,11598.4
2021-01-05,Store_A,Shoes,195,17839.45,15433.070000000002,11992.497
2021-01-05,Store_A,Accessories,177,16904.49,15631.888571428572,12447.926666666668
2021-01-05,Store_C,Jackets,174,12799.75,15591.48,12388.103333333334
2021-01-05,Store_B,Jeans,198,7836.8,14305.218571428573,12327.719000000001
2021-01-05,Store_B,Jackets,207,16817.12,14515.085714285715,12395.591000000002
2021-01-05,Store_B,Dresses,213,11608.04,14754.859999999999,12301.173
2021-01-05,Store_B,Shoes,171,8505.15,13187.257142857143,12453.669333333333
2021-01-05,Store_B,Accessories,220,4517.93,11284.182857142858,12433.679333333333
2021-01-05,Store_C,T-Shirts,183,12012.05,10585.262857142856,12366.668
2021-01-06,Store_C,Accessories,204,10072.04,10195.59,12273.214000000002
2021-01-06,Store_D,T-Shirts,222,12489.51,10860.262857142856,12566.341666666667
2021-01-06,Store_D,Jackets,200,10264.44,9924.165714285715,12568.017666666665
2021-01-06,Store_D,Dresses,193,6101.33,9137.492857142857,12369.307
2021-01-06,Store_D,Shoes,175,3766.72,8460.574285714285,12378.259333333333
2021-01-06,Store_D,Accessories,183,12385.21,9584.471428571429,12507.768
2021-01-06,Store_E,Jackets,186,4687.97,8538.174285714285,12123.546
2021-01-06,Store_E,Jeans,199,5076.25,7824.49,11728.778333333334
2021-01-06,Store_C,Shoes,182,7562.62,7120.648571428572,11494.329333333333
2021-01-06,Store_E,Dresses,190,3416.81,6142.415714285714,11195.140333333335
2021-01-06,Store_E,Shoes,181,5171.18,6009.537142857143,11106.391666666666
2021-01-06,Store_E,Accessories,194,13994.29,7470.618571428572,11342.103666666666
2021-01-06,Store_E,T-Shirts,185,16781.53,8098.664285714286,11642.317333333334
2021-01-06,Store_C,Jackets,182,14189.15,9455.975714285714,11412.674666666666
2021-01-06,Store_D,Jeans,213,14055.4,10738.711428571429,11301.575666666668
2021-01-06,Store_A,T-Shirts,203,19832.19,12491.507142857143,11445.556666666667
2021-01-06,Store_C,Jeans,202,9355.32,13339.865714285714,11321.313666666667
2021-01-06,Store_A,Jeans,201,16731.55,14991.347142857141,11317.677666666666
2021-01-06,Store_A,Jackets,208,19132.56,15725.385714285712,11443.828000000001
2021-01-06,Store_A,Dresses,210,10004.79,14757.279999999999,11446.333666666666
2021-01-06,Store_A,Shoes,227,3193.82,13186.518571428573,10903.515333333333
2021-01-06,Store_A,Accessories,183,8103.27,12336.214285714286,10578.976
2021-01-06,Store_B,T-Shirts,216,10224.09,10963.628571428571,10356.296
2021-01-06,Store_C,Dresses,205,5979.19,10481.324285714285,10128.943999999998
2021-01-06,Store_B,Jackets,217,10969.13,9658.121428571429,10233.355
2021-01-06,Store_B,Dresses,204,14372.42,8978.101428571428,10151.865
2021-01-06,Store_B,Shoes,205,4145.14,8141.0085714285715,9903.101666666666
2021-01-06,Store_B,Accessories,207,16458.29,10035.932857142858,10168.206333333334
2021-01-06,Store_C,T-Shirts,201,11993.99,10591.75,10417.408333333333
2021-01-06,Store_B,Jeans,190,16686.75,11514.987142857144,10573.231666666667
2021-01-07,Store_C,Shoes,204,3908.73,11219.207142857142,10367.787999999999
2021-01-07,Store_C,Accessories,183,4476.42,10291.677142857143,10100.685000000001
2021-01-07,Store_D,T-Shirts,186,4762.27,8918.798571428571,9917.279333333334
2021-01-07,Store_D,Jeans,221,12642.53,10132.71142857143,10135.319333333335
2021-01-07,Store_D,Jackets,196,3936.37,8343.865714285714,10140.974333333334
2021-01-07,Store_D,Dresses,196,17227.55,9091.517142857143,10302.385666666667
2021-01-07,Store_E,T-Shirts,203,16088.64,9006.072857142857,10682.408
2021-01-07,Store_D,Accessories,207,12442.49,10225.181428571426,10927.949333333332
2021-01-07,Store_E,Jeans,186,8981.81,10868.808571428572,10975.255666666666
2021-01-07,Store_E,Jackets,200,4067.06,10769.492857142857,10996.930666666665
2021-01-07,Store_E,Dresses,204,12711.53,10779.35,11248.275666666666
2021-01-07,Store_E,Shoes,183,10601.75,11731.547142857144,11135.191
2021-01-07,Store_E,Accessories,169,3734.45,9803.961428571429,10700.288333333332
2021-01-07,Store_D,Shoes,215,5456.67,8285.108571428571,10409.205666666669
2021-01-07,Store_C,Dresses,194,11905.79,8208.437142857143,10337.552
2021-01-07,Store_C,Jackets,197,7001.35,7925.5142857142855,9909.857333333332
2021-01-07,Store_C,T-Shirts,213,3796.26,7886.828571428572,9724.555333333332
2021-01-07,Store_A,T-Shirts,205,18167.53,8666.257142857143,9772.421333333334
2021-01-07,Store_A,Jeans,224,7821.85,8269.128571428571,9395.397666666666
2021-01-07,Store_A,Jackets,214,5693.87,8549.045714285714,9251.700333333334
2021-01-07,Store_A,Dresses,187,10024.52,9201.595714285713,9479.390333333335
2021-01-07,Store_A,Shoes,205,10583.77,9012.735714285714,9562.073666666667
2021-01-07,Store_A,Accessories,211,6903.78,8998.797142857144,9451.396666666666
2021-01-07,Store_C,Jeans,201,15495.0,10670.045714285716,9768.590333333334
2021-01-07,Store_B,Jeans,201,10103.69,9518.06857142857,9739.742333333334
2021-01-07,Store_B,Jackets,201,6880.61,9383.605714285715,9490.015333333333
2021-01-07,Store_B,Dresses,195,7602.49,9656.265714285715,9605.260333333334
2021-01-07,Store_B,Shoes,187,3885.6,8779.277142857141,9186.170666666667
2021-01-07,Store_B,Accessories,220,15646.23,9502.485714285713,9307.912
2021-01-07,Store_B,T-Shirts,209,11714.65,10189.752857142857,9142.175333333334
2021-01-08,Store_C,Shoes,182,11976.79,9687.151428571427,9411.110666666667
2021-01-08,Store_C,Accessories,201,16275.72,10568.869999999999,9804.420666666667
2021-01-08,Store_D,T-Shirts,183,5922.62,10432.014285714284,9843.099
2021-01-08,Store_D,Jeans,211,12932.21,11193.402857142855,9852.755
2021-01-08,Store_D,Jackets,211,8606.13,11867.764285714284,10008.413666666665
2021-01-08,Store_D,Dresses,215,18528.85,12279.567142857142,10051.790333333334
2021-01-08,Store_E,T-Shirts,209,15143.17,12769.355714285715,10020.274666666666
2021-01-08,Store_D,Accessories,183,13725.5,13019.171428571428,10063.041666666666
2021-01-08,Store_E,Jeans,202,8304.75,11880.46142857143,10040.473
2021-01-08,Store_E,Jackets,203,10470.85,12530.20857142857,10253.932666666666
2021-01-08,Store_E,Dresses,231,14497.72,12753.852857142858,10313.472333333333
2021-01-08,Store_C,Dresses,229,9192.4,12837.605714285713,10266.493999999999
2021-01-08,Store_E,Accessories,203,18884.06,12888.35,10771.481
2021-01-08,Store_D,Shoes,181,14797.94,12839.031428571428,11082.856666666665
2021-01-08,Store_E,Shoes,200,2325.98,11210.528571428571,10763.529666666667
2021-01-08,Store_C,Jackets,222,4555.62,10674.93857142857,10682.005333333334
2021-01-08,Store_C,T-Shirts,211,6519.72,10110.49142857143,10772.787333333334
2021-01-08,Store_C,Jeans,221,13021.27,9899.570000000002,10601.245333333332
2021-01-08,Store_A,T-Shirts,192,6320.19,9489.254285714285,10551.19
2021-01-08,Store_A,Jeans,208,13230.36,8681.582857142857,10802.406333333334
2021-01-08,Store_A,Jackets,199,8238.23,7744.481428571429,10742.863333333335
2021-01-08,Store_A,Shoes,181,17095.57,9854.422857142856,10959.923333333332
2021-01-08,Store_A,Accessories,185,14189.66,11230.714285714286,11202.786
2021-01-08,Store_A,Dresses,226,21888.65,13426.275714285715,11415.907666666666
2021-01-08,Store_B,Jeans,213,5267.28,12318.562857142857,11254.694
2021-01-08,Store_B,Jackets,184,12855.67,13252.202857142856,11453.862666666666
2021-01-08,Store_B,Dresses,201,17878.56,13916.231428571427,11796.398333333334
2021-01-08,Store_B,Shoes,196,9706.34,14125.96142857143,11990.423
2021-01-08,Store_B,Accessories,195,7239.18,12717.905714285715,11710.188
2021-01-08,Store_B,T-Shirts,203,4583.64,11345.617142857143,11472.487666666666
2021-01-09,Store_D,Dresses,185,17602.82,10733.355714285713,11660.022
2021-01-09,Store_C,Accessories,186,9762.4,11375.515714285715,11442.911333333332
2021-01-09,Store_D,T-Shirts,203,16198.89,11853.118571428571,11785.453666666666
2021-01-09,Store_D,Jeans,198,9834.39,10703.951428571429,11682.193000000001
2021-01-09,Store_D,Jackets,196,4698.44,9988.537142857142,11551.936666666668
2021-01-09,Store_D,Accessories,196,4714.53,9627.872857142856,11091.459333333332
2021-01-09,Store_C,Shoes,187,5322.5,9733.424285714285,10764.103666666666
2021-01-09,Store_E,Jeans,188,13248.43,9111.368571428571,10748.201333333333
2021-01-09,Store_E,Jackets,213,14643.14,9808.617142857142,10959.481
2021-01-09,Store_E,Dresses,188,5994.47,8350.842857142856,10810.268333333335
2021-01-09,Store_E,Shoes,209,17706.44,9475.421428571428,10917.225666666667
2021-01-09,Store_E,Accessories,196,5575.92,9600.775714285715,10796.676333333335
2021-01-09,Store_E,T-Shirts,209,2599.68,9298.654285714287,10253.863666666668
2021-01-09,Store_C,Dresses,204,15809.27,10796.764285714287,10287.57466666667
2021-01-09,Store_D,Shoes,195,13252.19,10797.301428571429,10651.781666666668
2021-01-09,Store_C,Jeans,207,19974.74,11558.95857142857,11165.752333333334
2021-01-09,Store_A,Jeans,204,15561.12,12925.622857142856,11467.132333333335
2021-01-09,Store_A,Jackets,227,11480.65,12036.224285714286,11415.778333333332
2021-01-09,Store_A,Dresses,216,20061.17,14105.545714285714,11873.811
2021-01-09,Store_A,Shoes,218,13780.82,15702.85142857143,11892.159666666668
2021-01-09,Store_A,Accessories,196,7872.88,14569.081428571428,11879.981333333333
2021-01-09,Store_B,T-Shirts,214,8563.19,13899.224285714285,11595.568666666666
2021-01-09,Store_A,T-Shirts,209,12929.98,12892.83,11553.579333333333
2021-01-09,Store_B,Jeans,196,18186.25,13267.848571428573,11430.166000000001
2021-01-09,Store_B,Jackets,194,14816.77,13744.437142857143,11748.482333333332
2021-01-09,Store_B,Dresses,198,10042.47,12313.194285714286,11654.709
2021-01-09,Store_B,Shoes,182,9983.26,11770.685714285713,11391.532333333334
2021-01-09,Store_B,Accessories,197,8395.24,11845.308571428572,11347.829
2021-01-09,Store_C,T-Shirts,203,2269.24,10946.172857142858,11182.164333333332
2021-01-09,Store_C,Jackets,183,3235.71,9561.277142857143,11137.233333333334
2021-01-10,Store_C,Accessories,204,14250.07,8998.965714285714,11025.475
2021-01-10,Store_D,T-Shirts,185,8822.53,8142.645714285713,10994.146
2021-01-10,Store_D,Jeans,195,2774.25,7104.328571428572,10546.658
2021-01-10,Store_D,Jackets,184,3211.15,6136.884285714286,10325.883333333333
2021-01-10,Store_D,Dresses,204,9187.47,6250.0599999999995,10475.517666666665
2021-01-10,Store_D,Shoes,191,14270.4,7964.511428571428,10794.046666666667
2021-01-10,Store_E,Jackets,204,11153.28,9095.592857142856,10988.405999999999
2021-01-10,Store_E,T-Shirts,207,15717.82,9305.271428571428,11070.719000000001
2021-01-10,Store_E,Jeans,187,6283.9,8942.609999999999,10792.077666666668
2021-01-10,Store_E,Dresses,204,16193.95,10859.710000000001,11132.060333333333
2021-01-10,Store_E,Shoes,179,13521.12,12332.562857142857,10992.549666666666
2021-01-10,Store_E,Accessories,200,9826.89,12423.908571428572,11134.248666666665
2021-01-10,Store_C,Shoes,182,16134.32,12690.182857142858,11585.403333333332
2021-01-10,Store_D,Accessories,191,10093.31,12538.75857142857,11394.871333333333
2021-01-10,Store_C,Dresses,215,2362.77,10630.894285714285,11031.890666666666
2021-01-10,Store_C,Jackets,190,13039.29,11595.949999999999,10800.708999999999
2021-01-10,Store_C,Jeans,223,13800.69,11254.055714285714,10742.027999999998
2021-01-10,Store_A,T-Shirts,191,2133.5,9627.252857142857,10430.456333333334
2021-01-10,Store_A,Jeans,176,2180.27,8534.878571428571,9834.426333333333
2021-01-10,Store_A,Jackets,185,8866.72,7496.650000000001,9670.622999999998
2021-01-10,Store_A,Dresses,221,9008.75,7341.7128571428575,9708.485333333336
2021-01-10,Store_A,Accessories,190,8900.94,8275.737142857144,9719.743666666667
2021-01-10,Store_B,T-Shirts,202,7373.39,7466.322857142857,9534.524
2021-01-10,Store_A,Shoes,190,11994.04,7208.2300000000005,9328.117
2021-01-10,Store_B,Jackets,218,19731.11,9722.174285714285,9491.928333333335
2021-01-10,Store_B,Dresses,213,2560.74,9776.527142857143,9242.537333333334
2021-01-10,Store_B,Shoes,190,12732.48,10328.778571428571,9334.177999999998
2021-01-10,Store_B,Accessories,189,16092.16,11340.694285714286,9590.742
2021-01-10,Store_C,T-Shirts,185,2156.2,10377.16,9586.974
2021-01-10,Store_B,Jeans,231,5222.95,10069.954285714284,9653.215333333332
2021-01-11,Store_D,Dresses,210,4187.96,8954.8,9317.811666666666
2021-01-11,Store_C,Accessories,201,16459.99,8487.497142857143,9572.393666666667
2021-01-11,Store_D,T-Shirts,212,11276.03,9732.538571428571,9855.786333333333
2021-01-11,Store_D,Jeans,205,20206.34,10800.232857142857,10422.292666666666
2021-01-11,Store_D,Jackets,212,10159.49,9952.708571428573,10454.693333333333
2021-01-11,Store_D,Shoes,194,7113.54,10660.9,10216.131333333333
2021-01-11,Store_E,Accessories,186,7721.1,11017.778571428573,10101.725333333334
2021-01-11,Store_E,T-Shirts,195,5780.36,11245.264285714287,9770.476666666666
2021-01-11,Store_E,Jeans,177,15774.35,11147.315714285713,10086.825
2021-01-11,Store_E,Jackets,230,14997.62,11678.971428571429,10046.947333333334
2021-01-11,Store_E,Dresses,206,11565.24,10444.528571428571,9981.751333333332
2021-01-11,Store_E,Shoes,188,5610.63,9794.691428571428,9841.209333333334
2021-01-11,Store_C,Shoes,220,6812.6,9751.7,9530.485333333334
2021-01-11,Store_D,Accessories,188,2182.43,8960.461428571429,9266.789333333336
2021-01-11,Store_C,Dresses,213,14128.34,10153.03,9658.975
2021-01-11,Store_C,Jackets,173,10129.88,9346.677142857143,9561.994666666667
2021-01-11,Store_C,Jeans,208,15647.63,9439.535714285714,9623.559333333335
2021-01-11,Store_A,T-Shirts,189,15488.06,9999.93857142857,10068.711333333335
2021-01-11,Store_A,Jeans,208,13129.12,11074.00857142857,10433.673
2021-01-11,Store_A,Jackets,194,17956.3,12665.965714285714,10736.658999999998
2021-01-11,Store_A,Dresses,198,11636.67,14016.57142857143,10824.256333333333
2021-01-11,Store_A,Accessories,207,17890.51,14554.024285714286,11123.908666666666
2021-01-11,Store_B,T-Shirts,189,5652.77,13914.437142857143,11066.554666666667
2021-01-11,Store_A,Shoes,219,18087.32,14262.964285714284,11269.663999999999
2021-01-11,Store_B,Jackets,224,16299.99,14378.954285714284,11155.293333333333
2021-01-11,Store_B,Dresses,191,18602.49,15160.864285714284,11690.018333333333
2021-01-11,Store_B,Shoes,230,20144.28,15473.432857142858,11937.078333333335
2021-01-11,Store_B,Accessories,216,18274.12,16421.64,12009.810333333333
2021-01-11,Store_C,T-Shirts,188,3182.05,14320.43142857143,12044.005333333333
2021-01-11,Store_B,Jeans,225,13750.89,15477.305714285712,12328.27
2021-01-12,Store_D,Dresses,202,3964.91,13459.81857142857,12320.835
2021-01-12,Store_C,Accessories,181,13921.75,13120.069999999998,12236.227
2021-01-12,Store_D,T-Shirts,184,15620.14,12694.02,12381.030666666666
2021-01-12,Store_D,Jeans,200,7166.69,10840.07857142857,11946.375666666667
2021-01-12,Store_D,Jackets,205,13747.41,10193.405714285715,12065.973
2021-01-12,Store_D,Shoes,211,20397.22,12652.715714285714,12508.762333333334
2021-01-12,Store_E,Accessories,150,5868.74,11526.694285714284,12447.017
2021-01-12,Store_E,T-Shirts,179,12871.84,12799.112857142858,12683.399666666666
2021-01-12,Store_E,Jeans,173,12756.24,12632.611428571428,12582.796
2021-01-12,Store_E,Jackets,173,7115.4,11417.648571428572,12320.055333333332
2021-01-12,Store_E,Dresses,205,18129.85,12983.814285714285,12538.875666666667
2021-01-12,Store_E,Shoes,211,16509.42,13378.387142857142,12902.168666666666
2021-01-12,Store_C,Shoes,184,16277.73,12789.88857142857,13217.673
2021-01-12,Store_D,Accessories,193,18119.33,14539.972857142857,13748.902999999998
2021-01-12,Store_C,Dresses,208,16170.86,15011.261428571426,13816.987
2021-01-12,Store_C,Jackets,209,15209.44,15361.718571428572,13986.305666666665
2021-01-12,Store_C,Jeans,207,18227.69,16949.18857142857,14072.307666666666
2021-01-12,Store_A,Jeans,183,5526.54,15148.715714285714,13740.257
2021-01-12,Store_A,Jackets,188,11912.54,14492.018571428573,13699.704333333333
2021-01-12,Store_A,Dresses,203,18061.21,14746.80142857143,13703.201333333333
2021-01-12,Store_A,Shoes,190,17097.59,14600.838571428572,13885.232
2021-01-12,Store_A,Accessories,214,12749.51,14112.074285714287,13713.865333333333
2021-01-12,Store_B,T-Shirts,177,7706.93,13040.287142857143,13782.337333333333
2021-01-12,Store_A,T-Shirts,196,14237.8,12470.302857142857,13654.019999999999
2021-01-12,Store_B,Jackets,176,12582.82,13478.342857142858,13530.114333333333
2021-01-12,Store_B,Dresses,175,9548.56,13140.631428571429,13228.316666666668
2021-01-12,Store_B,Shoes,199,16760.04,12954.75,13115.508666666665
2021-01-12,Store_B,Accessories,194,11817.68,12200.477142857142,12900.293999999998
