Date,Store,Category,Units_Sold,Revenue
2021-01-02,Store_C,Jeans,200,7015.64
2021-01-02,Store_C,Jackets,223,5138.04
2021-01-02,Store_C,Dresses,189,14845.15
2021-01-02,Store_C,Shoes,188,8102.89
2021-01-02,Store_C,Accessories,205,11935.04
2021-01-02,Store_D,T-Shirts,177,6880.03
2021-01-02,Store_D,Jeans,186,11751.55
2021-01-02,Store_D,Jackets,207,11610.29
2021-01-02,Store_D,Dresses,188,4830.28
2021-01-02,Store_D,Shoes,208,19615.59
2021-01-02,Store_D,Accessories,182,3678.7
2021-01-02,Store_E,T-Shirts,225,7473.32
2021-01-02,Store_E,Jeans,207,12413.39
2021-01-02,Store_E,Jackets,201,3694.23
2021-01-02,Store_E,Dresses,221,14802.39
2021-01-02,Store_E,Shoes,193,14539.85
2021-01-02,Store_E,Accessories,221,17721.72
2021-01-03,Store_A,T-Shirts,206,5056.6
2021-01-03,Store_A,Jeans,221,2392.93
2021-01-03,Store_A,Jackets,179,1871.54
2021-01-03,Store_A,Dresses,184,13297.78
2021-01-03,Store_A,Shoes,206,15263.8
2021-01-03,Store_A,Accessories,188,14510.63
2021-01-03,Store_B,T-Shirts,206,14252.14
2021-01-03,Store_B,Jeans,203,8748.17
2021-01-03,Store_B,Jackets,190,18538.48
2021-01-03,Store_B,Dresses,196,13093.29
2021-01-03,Store_B,Shoes,213,13189.25
2021-01-03,Store_B,Accessories,200,15004.14
2021-01-03,Store_C,T-Shirts,191,13005.67
2021-01-03,Store_C,Jeans,195,18241.99
2021-01-03,Store_C,Jackets,197,19054.98
2021-01-03,Store_C,Dresses,217,9690.96
2021-01-03,Store_C,Shoes,217,5480.19
2021-01-03,Store_C,Accessories,202,14673.82
2021-01-03,Store_D,T-Shirts,203,13266.18
2021-01-03,Store_D,Jeans,201,15410.5
2021-01-03,Store_D,Jackets,208,8809.67
2021-01-03,Store_D,Dresses,191,15835.85
2021-01-03,Store_D,Shoes,200,16369.31
2021-01-03,Store_D,Accessories,206,16814.0
2021-01-03,Store_E,T-Shirts,220,9636.54
2021-01-03,Store_E,Jeans,178,2355.8
2021-01-03,Store_E,Jackets,199,7121.95
2021-01-03,Store_E,Dresses,204,2725.71
2021-01-03,Store_E,Shoes,215,4608.62
2021-01-03,Store_E,Accessories,201,5914.2
2021-01-04,Store_A,T-Shirts,205,3003.53
2021-01-04,Store_A,Jeans,201,13541.11
2021-01-04,Store_A,Jackets,201,16394.92
2021-01-04,Store_A,Dresses,190,3241.6
2021-01-04,Store_A,Shoes,216,10110.05
2021-01-04,Store_A,Accessories,185,6016.54
2021-01-04,Store_B,T-Shirts,202,14022.39
2021-01-04,Store_B,Jeans,191,14594.45
2021-01-04,Store_B,Jackets,202,9648.33
2021-01-04,Store_B,Dresses,189,14780.96
2021-01-04,Store_B,Shoes,166,14440.58
2021-01-04,Store_B,Accessories,209,3930.26
2021-01-04,Store_C,T-Shirts,200,5117.63
2021-01-04,Store_C,Jeans,197,12889.02
2021-01-04,Store_C,Jackets,206,9005.32
2021-01-04,Store_C,Dresses,205,17852.24
2021-01-04,Store_C,Shoes,207,3384.7
2021-01-04,Store_C,Accessories,206,12920.28
2021-01-04,Store_D,T-Shirts,229,10290.18
2021-01-04,Store_D,Jeans,206,12175.74
2021-01-04,Store_D,Jackets,229,22100.14
2021-01-04,Store_D,Dresses,222,3605.84
2021-01-04,Store_D,Shoes,179,3311.48
2021-01-04,Store_D,Accessories,208,8051.22
2021-01-04,Store_E,T-Shirts,216,17993.27
2021-01-04,Store_E,Jeans,191,13886.91
2021-01-04,Store_E,Jackets,205,15612.06
2021-01-04,Store_E,Dresses,214,5557.49
2021-01-04,Store_E,Shoes,211,20919.69
2021-01-04,Store_E,Accessories,196,15655.92
2021-01-05,Store_A,T-Shirts,193,16840.63
2021-01-05,Store_A,Jeans,197,15348.05
2021-01-05,Store_A,Jackets,179,9929.62
2021-01-05,Store_A,Dresses,215,19478.37
2021-01-05,Store_A,Shoes,195,17839.45
2021-01-05,Store_A,Accessories,177,16904.49
2021-01-05,Store_B,T-Shirts,232,15512.76
2021-01-05,Store_B,Jeans,198,7836.8
2021-01-05,Store_B,Jackets,207,16817.12
2021-01-05,Store_B,Dresses,213,11608.04
2021-01-05,Store_B,Shoes,171,8505.15
2021-01-05,Store_B,Accessories,220,4517.93
2021-01-05,Store_C,T-Shirts,183,12012.05
2021-01-05,Store_C,Jeans,179,13082.61
2021-01-05,Store_C,Jackets,174,12799.75
2021-01-05,Store_C,Dresses,176,17388.37
2021-01-05,Store_C,Shoes,195,16214.63
2021-01-05,Store_C,Accessories,211,3695.68
2021-01-05,Store_D,T-Shirts,212,10214.16
2021-01-05,Store_D,Jeans,222,12062.65
2021-01-05,Store_D,Jackets,170,3498.15
2021-01-05,Store_D,Dresses,206,12875.66
2021-01-05,Store_D,Shoes,238,8499.95
2021-01-05,Store_D,Accessories,218,21078.43
2021-01-05,Store_E,T-Shirts,174,16919.28
2021-01-05,Store_E,Jeans,201,14596.09
2021-01-05,Store_E,Jackets,198,12392.48
2021-01-05,Store_E,Dresses,222,7833.64
2021-01-05,Store_E,Shoes,198,6922.93
2021-01-05,Store_E,Accessories,186,7775.12
2021-01-06,Store_A,T-Shirts,203,19832.19
2021-01-06,Store_A,Jeans,201,16731.55
2021-01-06,Store_A,Jackets,208,19132.56
2021-01-06,Store_A,Dresses,210,10004.79
2021-01-06,Store_A,Shoes,227,3193.82
2021-01-06,Store_A,Accessories,183,8103.27
2021-01-06,Store_B,T-Shirts,216,10224.09
2021-01-06,Store_B,Jeans,190,16686.75
2021-01-06,Store_B,Jackets,217,10969.13
2021-01-06,Store_B,Dresses,204,14372.42
2021-01-06,Store_B,Shoes,205,4145.14
2021-01-06,Store_B,Accessories,207,16458.29
2021-01-06,Store_C,T-Shirts,201,11993.99
2021-01-06,Store_C,Jeans,202,9355.32
2021-01-06,Store_C,Jackets,182,14189.15
2021-01-06,Store_C,Dresses,205,5979.19
2021-01-06,Store_C,Shoes,182,7562.62
2021-01-06,Store_C,Accessories,204,10072.04
2021-01-06,Store_D,T-Shirts,222,12489.51
2021-01-06,Store_D,Jeans,213,14055.4
2021-01-06,Store_D,Jackets,200,10264.44
2021-01-06,Store_D,Dresses,193,6101.33
2021-01-06,Store_D,Shoes,175,3766.72
2021-01-06,Store_D,Accessories,183,12385.21
2021-01-06,Store_E,T-Shirts,185,16781.53
2021-01-06,Store_E,Jeans,199,5076.25
2021-01-06,Store_E,Jackets,186,4687.97
2021-01-06,Store_E,Dresses,190,3416.81
2021-01-06,Store_E,Shoes,181,5171.18
2021-01-06,Store_E,Accessories,194,13994.29
2021-01-07,Store_A,T-Shirts,205,18167.53
2021-01-07,Store_A,Jeans,224,7821.85
2021-01-07,Store_A,Jackets,214,5693.87
2021-01-07,Store_A,Dresses,187,10024.52
2021-01-07,Store_A,Shoes,205,10583.77
2021-01-07,Store_A,Accessories,211,6903.78
2021-01-07,Store_B,T-Shirts,209,11714.65
2021-01-07,Store_B,Jeans,201,10103.69
2021-01-07,Store_B,Jackets,201,6880.61
2021-01-07,Store_B,Dresses,195,7602.49
2021-01-07,Store_B,Shoes,187,3885.6
2021-01-07,Store_B,Accessories,220,15646.23
2021-01-07,Store_C,T-Shirts,213,3796.26
2021-01-07,Store_C,Jeans,201,15495.0
2021-01-07,Store_C,Jackets,197,7001.35
2021-01-07,Store_C,Dresses,194,11905.79
2021-01-07,Store_C,Shoes,204,3908.73
2021-01-07,Store_C,Accessories,183,4476.42
2021-01-07,Store_D,T-Shirts,186,4762.27
2021-01-07,Store_D,Jeans,221,12642.53
2021-01-07,Store_D,Jackets,196,3936.37
2021-01-07,Store_D,Dresses,196,17227.55
2021-01-07,Store_D,Shoes,215,5456.67
2021-01-07,Store_D,Accessories,207,12442.49
2021-01-07,Store_E,T-Shirts,203,16088.64
2021-01-07,Store_E,Jeans,186,8981.81
2021-01-07,Store_E,Jackets,200,4067.06
2021-01-07,Store_E,Dresses,204,12711.53
2021-01-07,Store_E,Shoes,183,10601.75
2021-01-07,Store_E,Accessories,169,3734.45
2021-01-08,Store_A,T-Shirts,192,6320.19
2021-01-08,Store_A,Jeans,208,13230.36
2021-01-08,Store_A,Jackets,199,8238.23
2021-01-08,Store_A,Dresses,226,21888.65
2021-01-08,Store_A,Shoes,181,17095.57
2021-01-08,Store_A,Accessories,185,14189.66
2021-01-08,Store_B,T-Shirts,203,4583.64
2021-01-08,Store_B,Jeans,213,5267.28
2021-01-08,Store_B,Jackets,184,12855.67
2021-01-08,Store_B,Dresses,201,17878.56
2021-01-08,Store_B,Shoes,196,9706.34
2021-01-08,Store_B,Accessories,195,7239.18
2021-01-08,Store_C,T-Shirts,211,6519.72
2021-01-08,Store_C,Jeans,221,13021.27
2021-01-08,Store_C,Jackets,222,4555.62
2021-01-08,Store_C,Dresses,229,9192.4
2021-01-08,Store_C,Shoes,182,11976.79
2021-01-08,Store_C,Accessories,201,16275.72
2021-01-08,Store_D,T-Shirts,183,5922.62
2021-01-08,Store_D,Jeans,211,12932.21
2021-01-08,Store_D,Jackets,211,8606.13
2021-01-08,Store_D,Dresses,215,18528.85
2021-01-08,Store_D,Shoes,181,14797.94
2021-01-08,Store_D,Accessories,183,13725.5
2021-01-08,Store_E,T-Shirts,209,15143.17
2021-01-08,Store_E,Jeans,202,8304.75
2021-01-08,Store_E,Jackets,203,10470.85
2021-01-08,Store_E,Dresses,231,14497.72
2021-01-08,Store_E,Shoes,200,2325.98
2021-01-08,Store_E,Accessories,203,18884.06
2021-01-09,Store_A,T-Shirts,209,12929.98
2021-01-09,Store_A,Jeans,204,15561.12
2021-01-09,Store_A,Jackets,227,11480.65
2021-01-09,Store_A,Dresses,216,20061.17
2021-01-09,Store_A,Shoes,218,13780.82
2021-01-09,Store_A,Accessories,196,7872.88
2021-01-09,Store_B,T-Shirts,214,8563.19
2021-01-09,Store_B,Jeans,196,18186.25
2021-01-09,Store_B,Jackets,194,14816.77
2021-01-09,Store_B,Dresses,198,10042.47
2021-01-09,Store_B,Shoes,182,9983.26
2021-01-09,Store_B,Accessories,197,8395.24
2021-01-09,Store_C,T-Shirts,203,2269.24
2021-01-09,Store_C,Jeans,207,19974.74
2021-01-09,Store_C,Jackets,183,3235.71
2021-01-09,Store_C,Dresses,204,15809.27
2021-01-09,Store_C,Shoes,187,5322.5
2021-01-09,Store_C,Accessories,186,9762.4
2021-01-09,Store_D,T-Shirts,203,16198.89
2021-01-09,Store_D,Jeans,198,9834.39
2021-01-09,Store_D,Jackets,196,4698.44
2021-01-09,Store_D,Dresses,185,17602.82
2021-01-09,Store_D,Shoes,195,13252.19
2021-01-09,Store_D,Accessories,196,4714.53
2021-01-09,Store_E,T-Shirts,209,2599.68
2021-01-09,Store_E,Jeans,188,13248.43
2021-01-09,Store_E,Jackets,213,14643.14
2021-01-09,Store_E,Dresses,188,5994.47
2021-01-09,Store_E,Shoes,209,17706.44
2021-01-09,Store_E,Accessories,196,5575.92
2021-01-10,Store_A,T-Shirts,191,2133.5
2021-01-10,Store_A,Jeans,176,2180.27
2021-01-10,Store_A,Jackets,185,8866.72
2021-01-10,Store_A,Dresses,221,9008.75
2021-01-10,Store_A,Shoes,190,11994.04
2021-01-10,Store_A,Accessories,190,8900.94
2021-01-10,Store_B,T-Shirts,202,7373.39
2021-01-10,Store_B,Jeans,231,5222.95
2021-01-10,Store_B,Jackets,218,19731.11
2021-01-10,Store_B,Dresses,213,2560.74
2021-01-10,Store_B,Shoes,190,12732.48
2021-01-10,Store_B,Accessories,189,16092.16
2021-01-10,Store_C,T-Shirts,185,2156.2
2021-01-10,Store_C,Jeans,223,13800.69
2021-01-10,Store_C,Jackets,190,13039.29
2021-01-10,Store_C,Dresses,215,2362.77
2021-01-10,Store_C,Shoes,182,16134.32
2021-01-10,Store_C,Accessories,204,14250.07
2021-01-10,Store_D,T-Shirts,185,8822.53
2021-01-10,Store_D,Jeans,195,2774.25
2021-01-10,Store_D,Jackets,184,3211.15
2021-01-10,Store_D,Dresses,204,9187.47
2021-01-10,Store_D,Shoes,191,14270.4
2021-01-10,Store_D,Accessories,191,10093.31
2021-01-10,Store_E,T-Shirts,207,15717.82
2021-01-10,Store_E,Jeans,187,6283.9
2021-01-10,Store_E,Jackets,204,11153.28
2021-01-10,Store_E,Dresses,204,16193.95
2021-01-10,Store_E,Shoes,179,13521.12
2021-01-10,Store_E,Accessories,200,9826.89
2021-01-11,Store_A,T-Shirts,189,15488.06
2021-01-11,Store_A,Jeans,208,13129.12
2021-01-11,Store_A,Jackets,194,17956.3
2021-01-11,Store_A,Dresses,198,11636.67
2021-01-11,Store_A,Shoes,219,18087.32
2021-01-11,Store_A,Accessories,207,17890.51
2021-01-11,Store_B,T-Shirts,189,5652.77
2021-01-11,Store_B,Jeans,225,13750.89
2021-01-11,Store_B,Jackets,224,16299.99
2021-01-11,Store_B,Dresses,191,18602.49
2021-01-11,Store_B,Shoes,230,20144.28
2021-01-11,Store_B,Accessories,216,18274.12
2021-01-11,Store_C,T-Shirts,188,3182.05
2021-01-11,Store_C,Jeans,208,15647.63
2021-01-11,Store_C,Jackets,173,10129.88
2021-01-11,Store_C,Dresses,213,14128.34
2021-01-11,Store_C,Shoes,220,6812.6
2021-01-11,Store_C,Accessories,201,16459.99
2021-01-11,Store_D,T-Shirts,212,11276.03
2021-01-11,Store_D,Jeans,205,20206.34
2021-01-11,Store_D,Jackets,212,10159.49
2021-01-11,Store_D,Dresses,210,4187.96
2021-01-11,Store_D,Shoes,194,7113.54
2021-01-11,Store_D,Accessories,188,2182.43
2021-01-11,Store_E,T-Shirts,195,5780.36
2021-01-11,Store_E,Jeans,177,15774.35
2021-01-11,Store_E,Jackets,230,14997.62
2021-01-11,Store_E,Dresses,206,11565.24
2021-01-11,Store_E,Shoes,188,5610.63
2021-01-11,Store_E,Accessories,186,7721.1
2021-01-12,Store_A,T-Shirts,196,14237.8
2021-01-12,Store_A,Jeans,183,5526.54
2021-01-12,Store_A,Jackets,188,11912.54
2021-01-12,Store_A,Dresses,203,18061.21
2021-01-12,Store_A,Shoes,190,17097.59
2021-01-12,Store_A,Accessories,214,12749.51
2021-01-12,Store_B,T-Shirts,177,7706.93
2021-01-12,Store_B,Jeans,190,10379.48
2021-01-12,Store_B,Jackets,176,12582.82
2021-01-12,Store_B,Dresses,175,9548.56
2021-01-12,Store_B,Shoes,199,16760.04
2021-01-12,Store_B,Accessories,194,11817.68
2021-01-12,Store_C,T-Shirts,190,15535.98
2021-01-12,Store_C,Jeans,207,18227.69
2021-01-12,Store_C,Jackets,209,15209.44
2021-01-12,Store_C,Dresses,208,16170.86
2021-01-12,Store_C,Shoes,184,16277.73
2021-01-12,Store_C,Accessories,181,13921.75
2021-01-12,Store_D,T-Shirts,184,15620.14
2021-01-12,Store_D,Jeans,200,7166.69
2021-01-12,Store_D,Jackets,205,13747.41
2021-01-12,Store_D,Dresses,202,3964.91
2021-01-12,Store_D,Shoes,211,20397.22
2021-01-12,Store_D,Accessories,193,18119.33
2021-01-12,Store_E,T-Shirts,179,12871.84
2021-01-12,Store_E,Jeans,173,12756.24
2021-01-12,Store_E,Jackets,173,7115.4
2021-01-12,Store_E,Dresses,205,18129.85
2021-01-12,Store_E,Shoes,211,16509.42
2021-01-12,Store_E,Accessories,150,5868.74
2021-01-13,Store_A,T-Shirts,199,14227.82
2021-01-13,Store_A,Jeans,198,19748.76
2021-01-13,Store_A,Jackets,197,4871.05
2021-01-13,Store_A,Dresses,213,6362.15
2021-01-13,Store_A,Shoes,176,12127.46
2021-01-13,Store_A,Accessories,183,17371.35
2021-01-13,Store_B,T-Shirts,197,9019.35
2021-01-13,Store_B,Jeans,196,6016.4
2021-01-13,Store_B,Jackets,187,12837.55
2021-01-13,Store_B,Dresses,194,10202.24
2021-01-13,Store_B,Shoes,242,21338.61
2021-01-13,Store_B,Accessories,212,18238.46
2021-01-13,Store_C,T-Shirts,211,4602.34
2021-01-13,Store_C,Jeans,205,10934.09
2021-01-13,Store_C,Jackets,180,12906.16
2021-01-13,Store_C,Dresses,197,10685.97
2021-01-13,Store_C,Shoes,172,5884.02
2021-01-13,Store_C,Accessories,213,10856.57
2021-01-13,Store_D,T-Shirts,196,12544.36
2021-01-13,Store_D,Jeans,191,16695.5
2021-01-13,Store_D,Jackets,212,11288.07
2021-01-13,Store_D,Dresses,179,17685.13
2021-01-13,Store_D,Shoes,183,12011.02
2021-01-13,Store_D,Accessories,209,2273.79
2021-01-13,Store_E,T-Shirts,193,3456.24
2021-01-13,Store_E,Jeans,194,3311.98
2021-01-13,Store_E,Jackets,196,11971.42
2021-01-13,Store_E,Dresses,208,5826.81
2021-01-13,Store_E,Shoes,184,12379.28
2021-01-13,Store_E,Accessories,209,19700.15
2021-01-14,Store_A,T-Shirts,169,12474.81
2021-01-14,Store_A,Jeans,218,17909.9
2021-01-14,Store_A,Jackets,193,3321.59
2021-01-14,Store_A,Dresses,221,18466.05
2021-01-14,Store_A,Shoes,198,11360.5
2021-01-14,Store_A,Accessories,210,3240.65
2021-01-14,Store_B,T-Shirts,189,16719.04
2021-01-14,Store_B,Jeans,193,15647.06
2021-01-14,Store_B,Jackets,207,12416.42
2021-01-14,Store_B,Dresses,209,20831.04
2021-01-14,Store_B,Shoes,186,3068.6
2021-01-14,Store_B,Accessories,198,14938.15
2021-01-14,Store_C,T-Shirts,210,8638.17
2021-01-14,Store_C,Jeans,195,2653.92
2021-01-14,Store_C,Jackets,218,10785.63
2021-01-14,Store_C,Dresses,210,18607.7
2021-01-14,Store_C,Shoes,222,7751.02
2021-01-14,Store_C,Accessories,204,5907.76
2021-01-14,Store_D,T-Shirts,205,15575.94
2021-01-14,Store_D,Jeans,182,16709.95
2021-01-14,Store_D,Jackets,185,18023.73
2021-01-14,Store_D,Dresses,185,10046.43
2021-01-14,Store_D,Shoes,189,9464.64
2021-01-14,Store_D,Accessories,201,12736.48
2021-01-14,Store_E,T-Shirts,184,17893.47
2021-01-14,Store_E,Jeans,189,7421.48
2021-01-14,Store_E,Jackets,212,20624.19
2021-01-14,Store_E,Dresses,198,3289.71
2021-01-14,Store_E,Shoes,184,7420.77
2021-01-14,Store_E,Accessories,215,6962.62
2021-01-15,Store_A,T-Shirts,205,5131.92
2021-01-15,Store_A,Jeans,184,14034.82
2021-01-15,Store_A,Jackets,207,17796.9
2021-01-15,Store_A,Dresses,214,18862.9
2021-01-15,Store_A,Shoes,187,6409.89
2021-01-15,Store_A,Accessories,170,16030.07
2021-01-15,Store_B,T-Shirts,163,8263.76
2021-01-15,Store_B,Jeans,227,12632.81
2021-01-15,Store_B,Jackets,164,16202.66
2021-01-15,Store_B,Dresses,240,22959.13
2021-01-15,Store_B,Shoes,206,10490.88
2021-01-15,Store_B,Accessories,201,14073.57
2021-01-15,Store_C,T-Shirts,182,6863.89
2021-01-15,Store_C,Jeans,209,14757.26
2021-01-15,Store_C,Jackets,244,17210.34
2021-01-15,Store_C,Dresses,198,5136.81
2021-01-15,Store_C,Shoes,208,19763.18
2021-01-15,Store_C,Accessories,208,13646.1
2021-01-15,Store_D,T-Shirts,218,2776.19
2021-01-15,Store_D,Jeans,226,16020.28
2021-01-15,Store_D,Jackets,187,8498.74
2021-01-15,Store_D,Dresses,206,14256.45
2021-01-15,Store_D,Shoes,218,13304.86
2021-01-15,Store_D,Accessories,210,9738.25
2021-01-15,Store_E,T-Shirts,193,15962.28
2021-01-15,Store_E,Jeans,211,10381.73
2021-01-15,Store_E,Jackets,215,12685.86
2021-01-15,Store_E,Dresses,194,14082.86
2021-01-15,Store_E,Shoes,195,6118.9
2021-01-15,Store_E,Accessories,195,3234.59
2021-01-16,Store_A,T-Shirts,204,13413.84
2021-01-16,Store_A,Jeans,198,17364.61
2021-01-16,Store_A,Jackets,201,2473.86
2021-01-16,Store_A,Dresses,193,8857.55
2021-01-16,Store_A,Shoes,203,13136.43
2021-01-16,Store_A,Accessories,212,15821.79
2021-01-16,Store_B,T-Shirts,234,6463.08
2021-01-16,Store_B,Jeans,221,20648.72
2021-01-16,Store_B,Jackets,194,10423.32
2021-01-16,Store_B,Dresses,189,7117.0
2021-01-16,Store_B,Shoes,214,8135.79
2021-01-16,Store_B,Accessories,204,7045.38
2021-01-16,Store_C,T-Shirts,196,5155.47
2021-01-16,Store_C,Jeans,208,11911.06
2021-01-16,Store_C,Jackets,209,12761.14
2021-01-16,Store_C,Dresses,199,11844.56
2021-01-16,Store_C,Shoes,232,19424.66
2021-01-16,Store_C,Accessories,220,6398.49
2021-01-16,Store_D,T-Shirts,204,17459.85
2021-01-16,Store_D,Jeans,221,6921.36
2021-01-16,Store_D,Jackets,212,17815.48
2021-01-16,Store_D,Dresses,197,3663.84
2021-01-16,Store_D,Shoes,205,12872.93
2021-01-16,Store_D,Accessories,184,16127.92
2021-01-16,Store_E,T-Shirts,187,2267.84
2021-01-16,Store_E,Jeans,206,12195.77
2021-01-16,Store_E,Jackets,188,11938.54
2021-01-16,Store_E,Dresses,182,8442.74
2021-01-16,Store_E,Shoes,197,14246.89
2021-01-16,Store_E,Accessories,179,11107.81
2021-01-17,Store_A,T-Shirts,190,3364.76
2021-01-17,Store_A,Jeans,221,8641.86
2021-01-17,Store_A,Jackets,188,3054.65
2021-01-17,Store_A,Dresses,201,16488.45
2021-01-17,Store_A,Shoes,188,16770.94
2021-01-17,Store_A,Accessories,206,8073.15
2021-01-17,Store_B,T-Shirts,193,19198.2
2021-01-17,Store_B,Jeans,207,15682.02
2021-01-17,Store_B,Jackets,199,12060.74
2021-01-17,Store_B,Dresses,235,16943.6
2021-01-17,Store_B,Shoes,186,3478.36
2021-01-17,Store_B,Accessories,198,8173.72
2021-01-17,Store_C,T-Shirts,207,19343.32
2021-01-17,Store_C,Jeans,188,4458.88
2021-01-17,Store_C,Jackets,202,11491.02
2021-01-17,Store_C,Dresses,205,15984.74
2021-01-17,Store_C,Shoes,181,14549.24
2021-01-17,Store_C,Accessories,209,7791.84
2021-01-17,Store_D,T-Shirts,190,3398.69
2021-01-17,Store_D,Jeans,228,8549.36
2021-01-17,Store_D,Jackets,196,12554.48
2021-01-17,Store_D,Dresses,201,11000.07
2021-01-17,Store_D,Shoes,180,7966.1
2021-01-17,Store_D,Accessories,219,18074.79
2021-01-17,Store_E,T-Shirts,213,3681.22
2021-01-17,Store_E,Jeans,196,14218.94
2021-01-17,Store_E,Jackets,194,13131.37
2021-01-17,Store_E,Dresses,215,18829.98
2021-01-17,Store_E,Shoes,225,14526.62
2021-01-17,Store_E,Accessories,212,11708.96
2021-01-18,Store_A,T-Shirts,196,8443.31
2021-01-18,Store_A,Jeans,173,3834.54
2021-01-18,Store_A,Jackets,192,9514.76
2021-01-18,Store_A,Dresses,179,5270.38
2021-01-18,Store_A,Shoes,205,4854.86
2021-01-18,Store_A,Accessories,172,8837.71
2021-01-18,Store_B,T-Shirts,171,16848.82
2021-01-18,Store_B,Jeans,188,3933.83
2021-01-18,Store_B,Jackets,192,13880.55
2021-01-18,Store_B,Dresses,172,17148.87
2021-01-18,Store_B,Shoes,214,8038.44
2021-01-18,Store_B,Accessories,205,9911.24
2021-01-18,Store_C,T-Shirts,182,9187.47
2021-01-18,Store_C,Jeans,186,8792.53
2021-01-18,Store_C,Jackets,215,17036.05
2021-01-18,Store_C,Dresses,199,6643.25
2021-01-18,Store_C,Shoes,211,12275.54
2021-01-18,Store_C,Accessories,187,5929.42
2021-01-18,Store_D,T-Shirts,236,4690.8
2021-01-18,Store_D,Jeans,202,17370.41
2021-01-18,Store_D,Jackets,178,4183.78
2021-01-18,Store_D,Dresses,193,10198.43
2021-01-18,Store_D,Shoes,195,10013.29
2021-01-18,Store_D,Accessories,192,9481.78
2021-01-18,Store_E,T-Shirts,189,2543.63
2021-01-18,Store_E,Jeans,222,14951.29
2021-01-18,Store_E,Jackets,207,13931.16
2021-01-18,Store_E,Dresses,205,11614.63
2021-01-18,Store_E,Shoes,183,10266.3
2021-01-18,Store_E,Accessories,208,3667.31
2021-01-19,Store_A,T-Shirts,209,3430.34
2021-01-19,Store_A,Jeans,210,7704.52
2021-01-19,Store_A,Jackets,194,13487.53
2021-01-19,Store_A,Dresses,185,3488.29
2021-01-19,Store_A,Shoes,207,7007.81
2021-01-19,Store_A,Accessories,242,19173.68
2021-01-19,Store_B,T-Shirts,205,5844.93
2021-01-19,Store_B,Jeans,181,14428.78
2021-01-19,Store_B,Jackets,206,2837.78
2021-01-19,Store_B,Dresses,204,15774.62
2021-01-19,Store_B,Shoes,214,4607.12
2021-01-19,Store_B,Accessories,193,5831.57
2021-01-19,Store_C,T-Shirts,195,9661.56
2021-01-19,Store_C,Jeans,205,6490.78
2021-01-19,Store_C,Jackets,181,16258.01
2021-01-19,Store_C,Dresses,206,17187.66
2021-01-19,Store_C,Shoes,218,20209.34
2021-01-19,Store_C,Accessories,189,9723.78
2021-01-19,Store_D,T-Shirts,216,17254.14
2021-01-19,Store_D,Jeans,206,12164.8
2021-01-19,Store_D,Jackets,165,3606.17
2021-01-19,Store_D,Dresses,210,6135.36
2021-01-19,Store_D,Shoes,200,15190.43
2021-01-19,Store_D,Accessories,202,11261.99
2021-01-19,Store_E,T-Shirts,191,13751.94
2021-01-19,Store_E,Jeans,219,17191.71
2021-01-19,Store_E,Jackets,184,1994.53
2021-01-19,Store_E,Dresses,189,18760.69
2021-01-19,Store_E,Shoes,178,14597.14
2021-01-19,Store_E,Accessories,187,14207.59
2021-01-20,Store_A,T-Shirts,205,8606.85
2021-01-20,Store_A,Jeans,213,2230.25
2021-01-20,Store_A,Jackets,211,16271.48
